"time","Spot_Price","Solar_photovoltaic","Combined_cycle","Other_renewables","input_baleares","Cogeneration","Steam_turbine"
2014-03-19,22,26.736346,55.818365,11.441127,3038.429,67.791592,4.275854
2014-03-20,42.3,26.753506,54.057157,11.693381,2983.478,70.665353,4.414839
2014-03-21,31.15,21.503574,45.323438,11.205286,2983.782,67.944646,4.69215
2014-03-22,36.1,19.462289,33.200559,10.097916,2897.381,46.346407,4.005468
2014-03-23,17,30.837775,40.027364,9.477121,2388.571,44.124262,3.986856
2014-03-24,36,21.991612,41.842657,9.594805,3018.297,59.337316,4.137681
2014-03-25,10.03,20.503923,37.844265,7.949965,3179.477,53.610398,4.018552
2014-03-26,6,24.846996,51.916004,8.781874,3417.163,55.260876,5.083596
2014-03-27,38,26.488998,94.980828,10.241015,3354.783,69.586196,5.659402
2014-03-28,38.88,15.662772,47.788599,9.678661,3413.016,68.486633,6.491866
2014-03-29,30.4,13.187164,35.592559,9.058603,2926.281,51.477707,5.055873
2014-03-30,33.2,16.546483,39.352617,8.506963,2313.49,48.208731,4.264617
2014-03-31,28.64,21.605236,63.385205,8.711873,2213.568,62.728946,4.401186
2014-04-01,28,16.874687,37.621274,8.131211,2221.214,58.720728,3.920195
2014-04-02,22.1,10.921693,65.493115,8.8483,2224.325,62.586838,4.355883
2014-04-03,34.1,18.312466,51.931716,8.561132,2231.539,62.016167,4.316092
2014-04-04,9,25.029462,43.794722,8.492369,2275.56,55.959576,4.070991
2014-04-05,17.9,21.749287,46.758516,8.73519,3164.4,46.627162,3.591131
2014-04-06,33,30.461437,52.892233,8.605494,2465.683,46.094225,3.488116
2014-04-07,35.69,31.317294,57.27389,8.311616,2225.189,61.098595,4.068512
2014-04-08,37.69,30.943052,55.780093,8.390765,2195.727,64.028466,4.103543
2014-04-09,28,27.4554,60.783113,8.891007,2195.38,64.518453,4.789349
2014-04-10,33.73,27.798129,79.597315,8.687761,2210.976,63.347151,4.105341
2014-04-11,28.69,25.960344,50.06772,8.693209,2502.23,59.717671,4.426516
2014-04-12,25,25.548694,40.415064,8.683845,2716.46,43.391411,5.17614
2014-04-13,22.29,32.11182,50.041331,8.66148,2421.922,42.209012,5.158117
2014-04-14,21.69,25.433535,53.303307,9.059439,3011.86,54.462217,6.423575
2014-04-15,33.1,26.87028,68.278406,8.863573,2933.582,59.74259,6.599926
2014-04-16,38.01,30.495519,76.002282,9.357739,2938.508,58.320711,6.384256
2014-04-17,31.69,31.370215,42.175364,9.072427,2742.12,48.792451,5.859551
2014-04-18,33.78,30.931312,47.708822,8.803373,2588.759,44.160813,4.804786
2014-04-19,23.56,20.717821,47.525206,8.489741,2791.671,41.475024,5.680788
2014-04-20,15.72,18.929724,48.174397,8.309856,2422.008,39.104487,5.276276
2014-04-21,30.08,17.572502,58.434779,8.098867,2461.407,48.424419,6.343657
2014-04-22,26.84,27.519175,47.810009,8.368082,3194.942,54.550754,6.328014
2014-04-23,31,27.031401,57.864124,9.400567,3224.708,60.565085,6.082224
2014-04-24,41.5,24.272298,37.473433,9.628888,3140.294,60.155028,5.565026
2014-04-25,13.9,32.879174,26.872882,9.357504,3196.584,53.627096,5.380695
2014-04-26,17.1,24.312286,22.991987,8.7415,2844.287,40.591981,4.992237
2014-04-27,16.69,33.717808,27.834913,8.337252,2466.85,39.917827,4.802371
2014-04-28,31,31.75069,39.542942,9.524722,3142.844,58.249666,5.589116
2014-04-29,37.5,32.221678,60.273353,10.566629,3115.713,63.059774,5.352607
2014-04-30,33.4,31.476723,49.458363,10.793971,3137.832,63.148057,5.299769
2014-05-01,36.75,32.806893,49.115041,10.270144,2636.971,42.323711,4.319489
2014-05-02,20.04,33.05778,47.656981,10.323194,3267.605,47.459491,5.949945
2014-05-03,31,34.761032,41.776825,10.192041,2822.472,43.629096,4.817569
2014-05-04,37.5,34.601844,55.73372,9.773794,2541.11,45.553999,4.018798
2014-05-05,46.01,33.32359,74.517932,9.452248,2178.317,60.357858,4.187971
2014-05-06,44.27,29.977374,83.212493,9.54608,2197.325,65.592914,4.990242
2014-05-07,46,27.096523,107.058115,10.002293,2227.78,67.755095,4.764846
2014-05-08,45.4,30.505555,83.11016,10.467851,2226.874,67.680235,4.493909
2014-05-09,45.83,31.969809,82.411997,10.940851,2360.405,68.89657,4.145791
2014-05-10,52.15,30.491068,54.287784,10.655536,3131.352,57.190957,3.934776
2014-05-11,45.4,29.978497,53.184148,10.401156,2654.986,53.994696,3.542472
2014-05-12,42.5,31.579875,60.510966,10.200383,2196.849,66.831736,4.525403
2014-05-13,36.5,30.908638,40.788128,10.393003,2298.241,67.028408,4.817773
2014-05-14,30.4,31.545706,41.494647,10.085997,2318.327,67.8567,4.84844
2014-05-15,33.01,33.131053,43.461071,10.746592,2315.175,68.182146,4.763951
2014-05-16,32.5,34.084547,41.706986,10.987214,2644.79,66.844102,4.5576
2014-05-17,30.1,33.10572,36.199272,10.762682,3260.736,53.453451,4.957913
2014-05-18,44.19,29.477373,54.14383,11.021357,2763.548,55.536667,3.632127
2014-05-19,45.11,27.16499,49.519143,10.674715,3389.342,66.093396,5.263441
2014-05-20,49.1,21.843314,67.08297,10.852186,3606.249,67.244783,5.268614
2014-05-21,45.89,23.930817,37.093942,10.848631,3685.824,64.292918,4.961468
2014-05-22,28.25,25.682576,33.521291,10.646965,3679.302,66.831148,4.677573
2014-05-23,34.12,28.59762,48.613516,11.013785,3678.22,69.014719,5.960848
2014-05-24,53.86,26.463376,53.235713,11.524492,3245.097,61.2093,5.036589
2014-05-25,49.9,29.517741,53.767552,11.469966,2597.832,58.069114,3.798854
2014-05-26,44.17,33.481508,53.447226,11.047733,2119.263,69.300106,4.958143
2014-05-27,46.2,27.598938,62.048632,11.294228,2137.795,70.522838,5.548985
2014-05-28,51.16,20.903096,49.441543,10.691075,2193.912,69.388315,5.460213
2014-05-29,45.4,30.240145,59.639648,11.064683,2548.325,70.373702,5.513343
2014-05-30,54.7,29.484472,52.558486,11.457076,3572.337,71.756614,3.96723
2014-05-31,48.6,27.203726,41.214164,11.384055,3173.041,60.910206,4.311926
2014-06-01,36.5,27.412276,51.864996,10.622548,2859.062,58.300431,4.057773
2014-06-02,45.5,33.409279,65.651959,11.686163,3575.62,71.491948,4.970044
2014-06-03,50.8,34.161649,79.689257,11.632312,3684.701,71.364903,5.006745
2014-06-04,47.48,32.783267,62.733682,11.34557,3637.354,72.057006,5.536351
2014-06-05,54.7,30.581848,66.661529,11.87602,3660.077,72.996143,6.109765
2014-06-06,49.48,27.549686,42.326676,11.800621,3871.627,71.281916,6.320204
2014-06-07,44.2,30.952565,45.129393,11.488881,3734.813,61.634309,5.736222
2014-06-08,49.48,32.904436,50.725818,11.698555,3647.981,60.543405,4.398769
2014-06-09,51.23,30.717581,53.419766,12.116811,4919.616,71.085113,5.431697
2014-06-10,47,26.530197,84.219745,12.202273,4589.049,73.822127,5.791803
2014-06-11,50.06,29.273762,91.550942,12.18186,4392.015,74.026589,5.906136
2014-06-12,54.87,30.887978,96.73636,12.283768,4830.019,73.834774,5.985285
2014-06-13,57.6,30.785968,86.040167,12.2042,4830.84,73.666576,6.189232
2014-06-14,44.17,32.080385,41.39755,11.944248,4732.171,61.405857,5.993966
2014-06-15,30.54,33.229029,37.270738,11.498167,3979.584,53.940541,5.387154
2014-06-16,26.87,29.544621,52.842924,11.512228,4480.272,69.303816,6.302922
2014-06-17,39.5,30.418501,62.64229,11.969418,4494.225,73.54771,6.170738
2014-06-18,56.3,30.409842,89.770194,11.498974,4099.206,75.070372,6.576087
2014-06-19,57.8,28.251683,88.663096,10.951578,4121.323,75.599406,6.195412
2014-06-20,62.13,29.585805,92.626211,11.143613,4459.018,74.621334,6.115122
2014-06-21,61.9,30.945257,64.632208,10.781655,4132.036,65.291895,5.819389
2014-06-22,60.53,25.883216,65.335851,10.27937,3287.477,63.81534,4.888991
2014-06-23,61.97,26.14288,106.706504,9.345648,4496.774,71.908116,6.091017
2014-06-24,64.94,18.923143,88.828728,9.010599,2960.972,74.428524,5.781829
2014-06-25,48.13,26.270948,67.765731,9.481258,4862.29,73.353162,5.318761
2014-06-26,59.6,30.400391,68.778229,9.606935,4685.903,74.297053,5.364639
2014-06-27,64.87,33.3514,70.673455,11.042922,4534.704,73.31923,5.988244
2014-06-28,61,32.210718,43.689585,9.391596,4447.743,61.618937,5.069645
2014-06-29,41.26,33.994088,40.949739,9.108019,4001.572,58.234094,4.286523
2014-06-30,50.22,34.173122,60.484171,8.367386,4868.554,69.435481,5.985675
